Who,What,When,when_yyyy_mm,Field,Area,Where,How (profit N-F),NR,Opacity,How (check character),How (year),How (policy),Why,EZID,Contact (surname),Contact (firstname),Contact (current only),Provider (surname),Provider (firstname),Provider (email),Address (postal),Address (location),Address (map),Latitude,Longitude,Postcode,Country
Colectica - Statistical Data Management,14365,2014-03-11,2014-03-01,IT,,https://www.colectica.com,True,NR,OP,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1428 Washington Ave S STE 203, Minneapolis, Minnesota, USA","1428 S Washington Ave #203, Minneapolis, MN 55454, USA","1428 Washington Avenue, Minneapolis, MN 55454, USA",44.9730432,-93.2472955,,USA
Archives départementales des Ardennes,75583,2014-03-17,2014-03-01,archives,departemental,https://archives.cd08.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Département des Ardennes, Hôtel du Département, CS 20001, 08011 Charleville-Mézières Cedex, France","10 rue de la Porte de Bourgogne, 08000, Charleville-Mézières, France","10 rue de la Porte de Bourgogne, 08000, Charleville-Mézières, France",49.7602625,4.7231957,8000,France
Washington University in St. Louis,87936,2014-03-18,2014-03-01,university,,https://www.wustl.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"St. Louis MO 63130, USA","St. Louis MO 63130, USA","St. Louis MO 63130, USA",38.6529545,-90.2411165602464,,USA
Institut National de Physique Nucléaire et de Physique des Particules du CNRS,62929,2014-03-21,2014-03-01,research,national,https://in2p3.cnrs.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"3 rue Michel-Ange - F-75794 Paris cedex 16, France","10 Rue Alice Domon et Léonie Duquet, 75013, Paris, France","10 Rue Alice Domon et Léonie Duquet, 75013, Paris, France",48.8285918,2.3831067,75013,France
Archives départementales de l'Ille-et-Vilaine,49933,2014-03-21,2014-03-01,archives,departemental,https://archives.ille-et-vilaine.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 avenue de la Préfecture, CS 20218, 35042 Rennes Cedex, France","1 rue Jacques-Léonard, 35000, Rennes, France","1 rue Jacques-Léonard, 35000, Rennes, France",48.128541,-1.6933547,35000,France
Archives départementales des Yvelines,36937,2014-03-25,2014-03-01,archives,departemental,https://archives.yvelines.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Avenue de Lunca, 78180, Montigny-le-Bretonneux, France","Avenue de Lunca, 78180, Montigny-le-Bretonneux, France","Avenue de Lunca, 78180, Montigny-le-Bretonneux, France",48.7888786,2.0453336,78180,France
UCSB Writing Program,87940,2014-04-16,2014-04-01,research,,https://www.writing.ucsb.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA",34.4162606,-119.8464093,,USA
University of Southern California,23941,2014-04-23,2014-04-01,university,,https://www.usc.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"651 W 35th St, Los Angeles, CA 90089, USA","651 W 35th St, Los Angeles, CA 90089, USA","651 West 35th Street, Los Angeles, CA 90089, USA",33.71236,-118.291364489796,,USA
AsWeGrow,10945,2014-05-05,2014-05-01,education,,https://teachpitch.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"11 Sangora Rd, SW11 1RL, London, UK","11 Sangora Rd, SW11 1RL, London, UK","11 Sangora Rd, SW11 1RL, London, UK",51.4607104,-0.1739617,,United Kingdom
Université Lille,72505,2014-05-06,2014-05-01,university,,https://www.univ-lille.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"42, rue Paul Duez, 59000, Lille, France","42, rue Paul Duez, 59000, Lille, France","42, rue Paul Duez, 59000, Lille, France",50.6337767,3.0743151,59000,France
PharmaTutor,59509,2014-05-09,2014-05-01,research,,https://www.pharmatutor.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"601/A, RJD Gajera Business Hub, Nr. Nagina Vadi, Katargam, Surat - 395004, India","601/A, RJD Gajera Business Hub, Nr. Nagina Vadi, Katargam, Surat - 395004, India","Katargam, Surat - 395004, India",21.22882205,72.8253082712774,,India
Lawrence Berkeley National Laboratory,87941,2014-05-10,2014-05-01,research,,https://commons.lbl.gov/display/rst/Library,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
Sciences Po,46513,2014-05-21,2014-05-01,university,,https://catalogue-bibliotheque.sciencespo.fr/discovery/search?vid=33USPC_SPO:SPO,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"27, rue Saint-Guillaume, 75007, Paris, France","27, rue Saint-Guillaume, 75007, Paris, France","27, rue Saint-Guillaume, 75007, Paris, France",48.854141,2.328387,75007,France
CLIVAR and Carbon Hydrographic Data Office,87942,2014-05-21,2014-05-01,research,,https://cchdo.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
LBNL OpenMSI,87943,2014-06-12,2014-06-01,research,,https://openmsi.nersc.gov/openmsi/client,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
Cité des Sciences et de l'industrie,20521,2014-06-13,2014-06-01,research,,https://www.cite-sciences.fr/fr/accueil/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"30 Avenue Corentin Cariou, 75019, Paris, France","30 Avenue Corentin Cariou, 75019, Paris, France","30 Avenue Corentin Cariou, 75019, Paris, France",48.8957518,2.3879761,75019,France
Grains Research and Development Corporation,33517,2014-06-13,2014-06-01,research,,https://www.grdc.com.au,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"4, East Building,4 National Circuit, Barton ACT 2600, Australia","4 National Circuit, Barton ACT 2600, Australia","4 National Circuit, Barton ACT 2600, Australia",-35.3057613,149.1343329,,Australia
Assemblée Nationale,69085,2014-06-17,2014-06-01,government agency,national,https://www.assemblee-nationale.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"126 rue de l'Université 75355 Paris 07 SP, France","126 Rue de l'Université, 75007, Paris, France","126 Rue de l'Université, 75007, Paris, France",48.8608616,2.3183886,75007,France
Cité Numérique de la Méditerranée,56089,2014-07-03,2014-07-01,research,,https://cinumed.mmsh.univ-aix.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"5, rue du Château de l'horloge, BP 647, 13094 Aix-en-Provence, France","5, rue du Château de l'horloge, 13090, Aix-en-Provence, France","5, rue du Château de l'horloge, 13090, Aix-en-Provence, France",43.5273257,5.4197288,13090,France
Cyverse,87946,2014-07-08,2014-07-01,research,,https://cyverse.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1657 East Helen St, Tucson, AZ 85721, USA","1657 E Helen St, Tucson, USA","1657 E Helen St, Tucson, USA",32.2372443,-110.9675822,,USA
University of California Davis,85140,2014-07-23,2014-07-01,university,,https://www.library.ucdavis.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"100 NW Quad, Davis, CA 95616, USA","100 NW Quad, Davis, CA 95616, USA","Davis, CA 95616, USA",38.5434297,-121.7377558,,USA
"UC Davis, Social Science Data Service",85141,2014-07-23,2014-07-01,research,,https://www.ssds.ucdavis.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"100 NW Quad, Davis, CA 95616, USA","100 NW Quad, Davis, CA 95616, USA","Davis, CA 95616, USA",38.5434297,-121.7377558,,USA
Utah State University,85142,2014-07-23,2014-07-01,university,,https://library.usu.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"3000 Old Main Hill, Logan, UT 84322, USA","3000 Old Main Hill, Logan, UT 84321, USA","Old Main Hill, Logan, UT 84321, USA",41.740587,-111.81573677414,,USA
Equipex Biblissima,43093,2014-07-24,2014-07-01,library,,https://biblissima.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Campus Condorcet, Bâtiment EPCC - Hôtel à projets (bureau 2033), 8, cours des Humanités, 93322 Aubervilliers CEDEX , France","20 avenue George Sand, 93210, La Plaine Saint-Denis, France","20 avenue George Sand, 93210, La Plaine Saint-Denis, France",48.908212,2.364712,93210,France
Archives municipales d'Armentières,30097,2014-07-25,2014-07-01,archives,municipal,https://archives.ville-armentieres.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"26 Avenue Aristide Briand, 59280 Armentières, France","26 Avenue Aristide Briand, 59280, Armentières, France","26 Avenue Aristide Briand, 59280, Armentières, France",50.6889343,2.8831806,59280,France
Canadian Writing Research Collaboratory,17102,2014-07-28,2014-07-01,research,,https://cwrc.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Edmonton AB, T6G 2J8, Canada","11121 Saskatchewan Dr NW Edmonton, AB T6G 2S1, Canada","11121 Saskatchewan Dr NW Edmonton, AB, Canada",53.5306692012439,-113.535345754907,,Canada
College of American Pathologists,78661,2014-08-08,2014-08-01,research,,https://www.cap.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"325 Waukegan Road, Northfield, IL 60093-2750, USA","325 Waukegan Rd Northfield, IL 60093, USA","325 Waukegan Rd Northfield, IL 60093, USA",42.1021192,-87.7967589,,USA
The Smithsonian Institution,65665,2014-08-18,2014-08-01,research,,https://collections.nmnh.si.edu/search/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1000 Constitution Ave, NW Washington, D.C. 20560, USA","1000 Constitution Ave. NW Washington, DC 20224, USA","1000 Constitution Ave. NW Washington, DC 20224, USA",38.892,-77.026148,,USA
Archives départementales de la Meuse,52669,2014-08-19,2014-08-01,archives,departemental,http://archives.meuse.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"26, route d'Aulnois, BP 50532, 55 012 Bar-le-Duc, France","26, route d'Aulnois, 55000, Bar-le-Duc, France","26, rue d'Aulnois, 55000, Bar-le-Duc, France",48.7578456,5.15636536707954,55000,France
Archives départementales de l'Ardèche,39673,2014-09-11,2014-09-01,archives,departemental,https://archives.ardeche.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Hôtel du Département, Quartier la Chaumette – BP 737, 07007 Privas cedex, France","14 Pl. Andre Malraux, 07000, Privas, France","14 Pl. Andre Malraux, 07000, Privas, France",44.7326192,4.5962519,7000,France
Fédération et Ressources sur l'Antiquité,26678,2014-09-19,2014-09-01,research,,https://www.frantiq.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,"EZID ARK, started as ARK",True,Anonyme,Anonyme,contact@email.com,,,,"MSH Mondes, 21 allée de l’Université, 92023 Nanterre Cedex, France","21 allée de l’Université, 92000, Nanterre, France","21 allée de l’Université, 92000, Nanterre, France",48.90427515,2.20973511978562,92000,France
iDASH Repository,85147,2014-10-13,2014-10-01,research,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3277627/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Purdue Polytechnic Institute,88114,2014-10-14,2014-10-01,research,,https://polytechnic.purdue.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"610 Purdue Mall, West Lafayette, IN 47907, USA","610 Purdue Mall, West Lafayette, IN 47907, USA","Purdue Mall, West Lafayette, IN 47907, USA",40.4287079,-86.9136899601775,,USA
"Revista de Arte, Ciência e Comunicação",14023,2014-10-26,2014-10-01,research,,https://revistas.rcaap.pt/artciencia/about,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Rua Gago Coutinho, 2615-086 Alverca, Lisboa, Portugal","Rua Gago Coutinho 2615-086 Alverca do Ribatejo, Portugal","Alverca do Ribatejo, Portugal",38.9049525,-9.04601801313072,,Portugal
Archives municipales de Bordeaux,75241,2014-10-29,2014-10-01,archives,municipal,https://archives.bordeaux-metropole.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Parvis des Archives, 33100, Bordeaux, France","Parvis des Archives, 33100, Bordeaux, France","Parvis des Archives, 33100, Bordeaux, France",44.8469613,-0.55447997334254,33100,France
Archives municipales de Rueil-Malmaison,62245,2014-10-29,2014-10-01,archives,municipal,http://archives.mairie-rueilmalmaison.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"13 Boulevard du Maréchal Foch, 92500 Rueil-Malmaison, France","Musée d'Histoire Locale, Place du 11 novembre 1918, 92500, Rueil-Malmaison, France","Place du 11-novembre-1918 et des Anciens Combattants, 92500, Rueil-Malmaison, France",48.87765965,2.18170814927472,92500,France
Archives municipales de Saint Brieuc,49249,2014-11-04,2014-11-01,archives,municipal,http://archives.saint-brieuc.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Service des Archives Municipales - Hôtel de Ville Place du Général De Gaulle - CS 72365 22023 Saint-Brieuc Cedex 1 22000 Saint Brieuc, France","3 Bis Rue Bel Orient, 22000, Saint-Brieuc, France","3B rue Bel Orient, 22000, Saint-Brieuc, France",48.5105691,-2.7672598,22000,France
Muséum d'Histoire Naturelle de Toulouse,36254,2014-11-06,2014-11-01,museum,municipal,https://www.museum.toulouse.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"35 Allées Jules Guesde, 31000, Toulouse, France","35 Allées Jules Guesde, 31000, Toulouse, France","35 Allées Jules Guesde, 31000, Toulouse, France",43.5940665,1.44911235743954,31000,France
DataMares,83022,2014-11-10,2014-11-01,research,,http://datamares.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Archives départementales des Hautes-Alpes,23599,2014-11-14,2014-11-01,archives,departemental,https://archives.hautes-alpes.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"22 Route de Rambaud, 05000, Gap, France","22 Route de Rambaud, 05000, Gap, France","22 Route de Rambaud, 05000, Gap, France",44.5617023,6.0944108,5000,France
"Instituto de Etnomusicologia - Centro de Estudos em Música e Dança, Faculdade de Motricidade Humana",10603,2014-12-09,2014-12-01,research,,https://www.fcsh.unl.pt/unidades-investigacao/instituto-de-etnomusicologia-centro-de-estudos-em-musica-e-danca-inet-md-nova-fcsh/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Ave. de Berna, 26 C, 1069-061 Lisbon, Portugal","Ave. de Berna, 26 C, 1069-061 Lisbon, Portugal","Ave. de Berna, 1069-061 Lisboa, Portugal",38.7411538,-9.1474966,,Portugal
Archives départementales de Maine-et-Loire,71821,2014-12-14,2014-12-01,archives,departemental,https://www.archives49.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"106, rue de Frémur, BP 80744, 49007 ANGERS CEDEX 01, France","106 Rue de Frémur, 49000, Angers, France","106 Rue de Frémur, 49000, Angers, France",47.4565656,-0.5606815,49000,France
Bibliothèque Nationale du Royaume du Maroc,45830,2014-12-19,2014-12-01,library,,http://www.bnrm.ma/bnrm,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Avenue Ibn Khaldoun, Rabat, Morocco","Avenue Ibn Khaldoun, Rabat, Morocco","Avenue Ibn Khaldoun, Rabat, Morocco",34.0079683,-6.843771,,Morocco
Dartmouth College Library,83024,2014-12-19,2014-12-01,library,,https://library.dartmouth.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"6025 Baker Library, Hanover, NH 03755, USA","6025 College St, Hanover, NH 03755, USA","6025 College St, Hanover, NH 03755, USA",43.7079448,-72.2837441,,USA
Archives départementales de Meurthe et Moselle,33175,2015-01-05,2015-01-01,archives,departemental,http://www.archives.meurthe-et-moselle.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Esplanade Jacques Baudot, CO900 19, 54035 Nancy Cedex, France","1 Rue de la Monnaie, 54000, Nancy, France","1 Rue de la Monnaie, 54000, Nancy, France",48.6940077,6.1795321,54000,France
Bibliothèque numérique de Roubaix,20179,2015-01-06,2015-01-01,library,municipal,https://www.bn-r.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Hôtel de ville, 17 Grand’Place, 59100 Roubaix, France","2 Rue Pierre Motte, 59100, Roubaix, France","2 Rue Pierre Motte, 59100, Roubaix, France",50.6909398,3.175663,59100,France
"National University of Ireland, Galway",83025,2015-01-06,2015-01-01,university,,https://www.nuigalway.ie/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"University Road, Galway, Ireland","University Road, Galway, Ireland","University Road, Galway, Ireland",53.2765866,-9.06167,,Ireland
Archives municipales de Villeurbanne,68401,2015-01-12,2015-01-01,archives,municipal,https://lerize.villeurbanne.fr/le-rize/archives-municipales/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"23 rue Valentin Haüy, 69100, Villeurbanne, Le Rize, CS 30028, 69625 Villeurbanne Cedex","23 rue Valentin Haüy, 69100, Villeurbanne, France","23 rue Valentin Haüy, 69100, Villeurbanne, France",45.7594794,4.884206,69100,France
Archives municipales de Blois,55406,2015-01-14,2015-01-01,archives,municipal,http://archives.blois.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Service Archives-Documentation, Hôtel de ville, 9 place Saint-Louis, 41012 BLOIS CEDEX, France","9 Place Saint-Louis, 41000, Blois, France","place Saint-Louis, 41000, Blois, France",47.5883597,1.33556635623231,41000,France
Archives départementales des Deux-Sèvres,58825,2015-01-30,2015-01-01,archives,departemental,https://archives-deux-sevres-vienne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Maison du département, CS 58880, 79028 Niort Cedex, France","26 Rue de la Blauderie, 79000, Niort, France","26 Rue de la Blauderie, 79000, Niort, France",46.332278,-0.453764590953545,79000,France
Berkeley Law Library,85779,2015-02-07,2015-02-01,library,,https://www.law.berkeley.edu/library.htm,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
Archives départementales de l'Aube,42751,2015-02-09,2015-02-01,archives,departemental,http://www.archives-aube.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Département de l'Aube, Hôtel du Département, 2 rue Pierre-Labonde, BP 394, 10026 Troyes cedex, France","131, rue Etienne Pédron, 10000, Troyes, France","131, rue Etienne Pédron, 10000, Troyes, France",48.3040624,4.0790017,10000,France
"UCSB Climate Hazards Group, Dept of Geography",85788,2015-02-11,2015-02-01,research,,https://www.chc.ucsb.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA",34.4162606,-119.8464093,,USA
Bibliothèque municipale de Valenciennes – Médiathèque Simone Veil,29755,2015-02-13,2015-02-01,library,municipal,https://bibliotheque.ville-valenciennes.fr/iguana/www.main.cls?surl=home,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Mairie de Valenciennes, Place d’Armes, BP 90939, 59 304 Valenciennes Cedex, France","2 Rue Ferrand, 59300, Valenciennes, France","2 Rue Ferrand, 59300, Valenciennes, France",50.3597894,3.5194841,59300,France
Drug Design Data Resource,85782,2015-02-18,2015-02-01,research,,https://drugdesigndata.org//,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
University of Wyoming Libraries,85786,2015-02-23,2015-02-01,university,,https://www.uwyo.edu/libraries/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1000 E. University Ave. Laramie, WY 82071, USA","1000 E. University Ave. Laramie, WY 82071, USA","1000 E. University Ave. Laramie, WY 82071, USA",41.3126368,-105.5888271,,USA
Archives départementales de la Haute-Saône,77977,2015-03-03,2015-03-01,archives,departemental,http://archives.haute-saone.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"CS 20349, 70006 Vesoul Cedex, France","14 B Rue Miroudot Saint-Ferjeux, 70000, Vesoul, France","14 B Rue Miroudot Saint-Ferjeux, 70000, Vesoul, France",47.6306533,6.1593742,70000,France
Sprint Investify,16759,2015-03-03,2015-03-01,publication,,https://www.ExpertJournals.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Sibiu 557260, Romania","Strada Mihai Viteazul 17 Șelimbăr 557260, Roumania","Strada Mihai Viteazul 17 Șelimbăr 557260, Roumania",45.7762421,24.1734635,,Romania
Archives départementales des Hautes-Pyrénées,64982,2015-03-04,2015-03-01,archives,departemental,http://www.archivesenligne65.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Département des Hautes-Pyrénées, Direction Archives et patrimoines, 6 rue Gaston  Manent, CS71324, 65013 TARBES CEDEX 9, France","5 rue des Ursulines, 65000, Tarbes, France","5 rue des Ursulines, 65000, Tarbes, France",43.2329756,0.0693028,65000,France
Montana State University,75788,2015-03-04,2015-03-01,university,,https://www.montana.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Bozeman MT 59717, USA","Culbertson Hall, 100, Bozeman, MT 59717, USA","Culbertson Hall, 100, Bozeman, MT 59717, USA",45.6707898,-111.049689516283,,USA
Archives départementales de la Haute-Vienne,52328,2015-03-10,2015-03-01,archives,departemental,http://archives.haute-vienne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 allée Alfred Leroux, 87000, Limoges, France","1 allée Alfred Leroux, 87000, Limoges, France","1 allée Alfred Leroux, 87000, Limoges, France",45.81767155,1.23482655049983,87000,France
Archives de la Ville et de l'Eurométropole de Strasbourg,39332,2015-03-10,2015-03-01,archives,municipal,https://archives.strasbourg.eu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 parc de l'Etoile, 67076 Strasbourg Cedex, France","32 avenue du Rhin, 67076, Strasbourg, France","32 avenue du Rhin, 67076, Strasbourg, France",48.5724417,7.7632194,67076,France
Archives départementales de l'Eure,26335,2015-03-25,2015-03-01,archives,departemental,https://archives.eure.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"2 rue de Verdun, 27025, Evreux Cedex, France","2, rue de Verdun, 27000, Evreux, France","2, rue de Verdun, 27000, Evreux, France",49.0241488,1.1487313,27000,France
