who,what,when,when_yyyy_mm,Field,Area,where,how_nfp,how_nr,how_op,how_cc,how_year,how_policy,why,EZID,contact (surname),contact (firstname),contact (current only),Provider (surname),Provider (firstname),Provider (mail),address (postal),address (location),address (map),latitude,longitude,postcode,country
University of Prince Edward Island,10987,2012-04-05,2012-04-01,university,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"550 University Ave, Charlottetown, PE C1A 4P3, Canada","550 University Ave, Charlottetown, PE C1A 4P3, Canada","550 University Ave, Charlottetown, PE C1A 4P3, Canada",46.2594778,-63.1406637702029,,Canada
Partnership for Interdisciplinary Studies of Coastal Oceans,86085,2012-05-22,2012-05-01,research,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA",34.4162606,-119.8464093,,USA
University of California Riverside,86086,2012-05-26,2012-05-01,university,,https://www.unamur.be/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"900 University Ave, Riverside, CA 92507, USA","900 University Ave, Riverside, CA 92507, USA","900 University Ave, Riverside, CA 92507, USA",33.9745786,-117.324540646887,,USA
Facultés Universitaires Notre-Dame de la Paix (Namur),83449,2012-06-17,2012-06-01,university,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Rue de Bruxelles 61, 5000 Namur, Belgium","Rue de Bruxelles 61, 5000 Namur, Belgium","Rue de Bruxelles 61, 5000 Namur, Belgium",50.4655172,4.8625279,,Belgium
Bourns College of Engineering,87268,2012-06-27,2012-06-01,university,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"900 University Ave, Riverside, CA 92507, USA","900 University Ave, Riverside, CA 92507, USA","900 University Ave, Riverside, CA 92507, USA",33.9745786,-117.324540646887,,USA
California Coastal Atlas,84246,2012-06-27,2012-06-01,research,,https://www.rmtbc.ca/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Doctor, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Massage Therapy Association of British Columbia,70453,2012-06-27,2012-06-01,research,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1200 - West 73rd Avenue, Vancouver, BC V6P 6G5, Canada","1200 - West 73rd Avenue, Vancouver, BC V6P 6G5, Canada","West 73rd Avenue, Vancouver, BC, Canada",49.2055447,-123.1392266,,Canada
ONEShare Data Service,90135,2012-07-02,2012-07-01,IT,,http://n2t.net,False,NR,OP,(:unkn) unknown,2012,,"EZID ARK, started as ARK",True,Anonyme,Anonyme,contact@email.com,,,,"1312 Basehart Drive SE, Albuquerque, NM 87131-0001, USA","1312 Basehart SE, Albuquerque, NM 87106, USA","1312 Basehart SE, Albuquerque, NM 87106, USA",35.0730489,-106.6315883,,USA
Skaggs School of Pharmacy,87270,2012-07-02,2012-07-01,university,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
UCSF Clinical and Translational Science Institute,87272,2012-07-10,2012-07-01,research,,https://wsu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"530 Parnassus Ave, San Francsico, CA 94143, USA","530 Parnassus Ave, San Francsico, CA 94143, USA","530 Parnassus Ave, San Francisco, CA 94143, USA",37.7632358976912,-122.459004853967,,USA
Washington State University,87273,2012-07-20,2012-07-01,university,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"142 Glenn Terrell Mall, Pullman, WA 99164, USA","142 Glenn Terrell Mall, Pullman, WA 99164, USA","Pullman, WA 99164, USA",46.7304268,-117.173895,,USA
University of Utah,87278,2012-08-16,2012-08-01,university,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"295 1500 E, Salt Lake City, UT 84112, USA","295 1500 E, Salt Lake City, UT 84112, USA","295 1500 E, Salt Lake City, UT 84112, USA",40.762103751911,-111.84730520554,,USA
Ocean Observatory Initiative,87279,2012-08-16,2012-08-01,research,,https://occ-data.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Open Commons Consortium,31807,2012-08-22,2012-08-01,IT,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"400 Lathrop Avenue, Suite 90, River Forest, IL 60305, USA","400 Lathrop Avenue, Suite 90, River Forest, IL 60305, USA","400 Lathrop Avenue, River Forest, IL 60305, USA",41.887141,-87.814834,,USA
University of California Irvine,87280,2012-09-10,2012-09-01,university,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"232 Ayala Science Library, PO BOX 19557, Irvine, CA 92623, USA","Irvine, Californie 92697, USA","Irvine, Californie 92697, USA",33.6856969,-117.8259819,,USA
Johns Hopkins University,87281,2012-09-13,2012-09-01,university,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"3400 N. Charles St., Baltimore, MD 21218, USA","Baltimore, MD 21218, USA","Baltimore, MD 21218, USA",39.2908816,-76.610759,,USA
Center for Multiscale Modeling of Atmospheric Processes,87285,2012-11-10,2012-11-01,research,,https://www.ualberta.ca/index.html,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
University of Alberta,54379,2012-11-15,2012-11-01,university,,https://evolution.berkeley.edu/evolibrary/home.php,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Edmonton AB, T6G 2J8, Canada","Edmonton AB, T6G 2J8, Canada","Edmonton, AB, Canada",53.535411,-113.507996,,Canada
Biocode Commons UC Berkeley,87286,2012-12-06,2012-12-01,research,,https://lib.utk.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2012,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
University of Tennessee,87290,2013-01-18,2013-01-01,university,,https://digitalcommonwealth.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1015 Volunteer Blvd, Knoxville, TN 37996, USA","1015 Volunteer Blvd, Knoxville, TN 37996, USA","1015 Volunteer Blvd, Knoxville, TN 37996, USA",35.9555365555749,-83.9293914947559,,USA
Digital Commonwealth,50959,2013-02-05,2013-02-01,IT,,https://www.crbs.ucsd.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"321 Walnut Street, Newton, MA 02460, USA","321 Walnut Street, Newton, MA 02460, USA","321 Walnut Street, Newton, MA 02460, USA",42.3502382046832,-71.207052196485,,USA
Center for Research in Biological Systems,87295,2013-03-04,2013-03-01,research,,https://lx.berkeley.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
UC Berkeley Department of Linguistics,87297,2013-03-07,2013-03-01,research,,https://www.bpl.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,False,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
Boston Public Library,34543,2013-03-14,2013-03-01,library,,http://n2t.net,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,True,Anonyme,Anonyme,contact@email.com,,,,"700 Boylston St, Boston, MA 02116, USA","700 Boylston St, Boston, MA 02116, USA","700 Boylston St, Boston, MA 02116, USA",42.3493298,-71.0786547381636,,USA
Biocode Commons,21547,2013-03-23,2013-03-01,research,,https://evolution.berkeley.edu/evolibrary/home.php,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,"EZID ARK, started as ARK",True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
"UCSD School of Medicine, Department of Neurosciences, Mobley Lab",87300,2013-04-01,2013-04-01,research,,http://onelaboratory.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
University of Michigan Libaries,87302,2013-04-01,2013-04-01,library,,https://www.lib.umich.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"801 Monroe St, Ann Arbor, MI 48104, USA","801 Monroe St, Ann Arbor, MI 48104, USA","801 Monroe St, Ann Arbor, MI 48104, USA",42.2733044,-83.7405638,,USA
Hawaii State Archives,70111,2013-04-10,2013-04-01,archives,,https://digitalarchives.hawaii.gov,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"364 S. King Street, Honolulu, Hawai'i 96813, USA","364 S. King Street, Honolulu, Hawai'i 96813, USA","364 S. King Street, Honolulu, Hawai'i 96813, USA",21.30683655,-157.85874595527,,USA
Service des archives régionales de Wallonie,44119,2013-05-27,2013-05-01,archives,,http://archives.wallonie.be/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Place Joséphine-Charlotte 2, 5100 Namur, Belgium","Place Joséphine-Charlotte 2, 5100 Namur, Belgium","Place Joséphine-Charlotte 2, 5100 Namur, Belgium",50.4605865,4.8769943,,Belgium
Penn State Institutes of Energy & Environment/PSU Data Commons,88113,2013-06-18,2013-06-01,research,,https://escience.washington.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"201 Old Main, University Park, Pennsylvania 16802, USA","Pollock Rd, University Park, PA 16802, USA","Pollock Road, PA 16802, USA",40.8000665,-77.860199,,USA
San Francisco Symphony,79687,2013-07-28,2013-07-01,music,,https://www.sfsymphony.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"201 Van Ness Avenue, San Francisco, CA 94102, USA","201 Van Ness Avenue, San Francisco, CA 94102, USA","Van Ness Avenue, San Francisco, CA 94102, USA",37.7798534,-122.4201433,,USA
American Numismatic Society,53695,2013-08-22,2013-08-01,research,,http://numismatics.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"75 Varick Street, New York, NY 10013, USA","75 Varick Street, New York, NY 10013, USA","75 Varick Street, New York, NY 10013, USA",40.723664,-74.0063695,,USA
Advanced Graphics Lab,87919,2013-08-31,2013-08-01,research,,https://web.ece.ucsb.edu/~psen/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA",34.4162606,-119.8464093,,USA
Cyberinfrastructure for Atomistic Materials Science,87920,2013-09-09,2013-09-01,research,,https://cams.mse.ufl.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Rhines Hall, Gainesville, FL 32611-6400, USA","Rhines Hall, Gainesville, FL 32603, USA","Rhines Hall, FL 32603, USA",29.647421,-82.3488889343086,,USA
US Environmental Protection Agency,27703,2013-09-13,2013-09-01,research,,https://epa.gov,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1200 Pennsylvania Avenue, N.W., Washington, DC 20460, USA","1200 Pennsylvania Avenue, N.W., Washington, DC 20004, USA","1200 Pennsylvania Avenue, Washington, DC 20004, USA",38.895806,-77.0305572,,USA
"Institute of Transportation Studies, UC Berkeley",87922,2013-09-30,2013-09-01,research,,https://its.berkeley.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
Lafayette College Libraries,76267,2013-10-09,2013-10-01,library,,https://www.lafayette.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"710 Sullivan Road, Lafayette College, Easton, PA 18042-1797, USA","730 High St, Easton, PA 18042, USA","730 High St, Easton, PA 18042, USA",40.7356737,-75.2386954503462,,USA
Duke University,87924,2013-10-14,2013-10-01,university,,https://library.duke.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"411 Chapel Drive, Durham, NC 27708, USA","411 Chapel Drive, Durham, NC 27708, USA","411 Chapel Drive, Durham, NC 27708, USA",35.998295,-78.9336597,,USA
University College Dublin,87925,2013-10-18,2013-10-01,university,,https://www.ucd.ie/library,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"Belfield Dublin 4, Ireland","University College Dublin, Belfield Dublin 4, Ireland","University College Dublin, Belfield Dublin 4, Ireland",53.3079633,-6.2342858,,Ireland
Berkeley Research IT,87928,2013-11-05,2013-11-01,research,,https://research-it.berkeley.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
Universidad Nacional de Costa Rica,11629,2013-11-08,2013-11-01,university,,https://www.dtic.una.ac.cr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Avenue 1 Calle 1, Heredia 86-3000, Costa Rica","Avenida 1, Calle 9 Heredia 86 Heredia, 40101, Costa Rica","Avenida 1, Heredia 86, 40101, Costa Rica",9.9997705,-84.1175895,,Costa Rica
Fundación Biblioteca Virtual Miguel de Cervantes,59851,2013-11-21,2013-11-01,library,,http://www.cervantesvirtual.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2013,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Plaza de Manuel Gómez Moreno, n.º 2, 28020 MADRID, Spain","Plaza de Manuel Gómez Moreno, n.º 2, 28020 MADRID, Spain","Plaza de Manuel Gómez Moreno, 28020 Madrid, Spain",40.4478014,-3.6947662,,Spain
Otolaryngology Online Journal,43777,2014-01-30,2014-01-01,research,,https://www.alliedacademies.org/otolaryngology-online-journal/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"154 Chestnut Creek Road, Candler, NC 28715, USA","154 Chestnut Creek Road, Candler, NC 28715, USA","154 Chestnut Creek Road, NC 28715, USA",35.452928120946,-82.742609960921,,USA
Berkeley Seismological Laboratory,87932,2014-02-13,2014-02-01,research,,http://seismo.berkeley.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
James Madison University,27361,2014-02-20,2014-02-01,university,,https://www.jmu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"800 S Main St, Harrisonburg, VA 22807, USA","800 S Main St, Harrisonburg, VA 22801, USA","800 S Main St, Harrisonburg, VA 22801, USA",38.440472,-78.87503,,USA
Colectica - Statistical Data Management,14365,2014-03-11,2014-03-01,IT,,https://www.colectica.com,True,NR,OP,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"1428 Washington Ave S STE 203, Minneapolis, Minnesota, USA","1428 S Washington Ave #203, Minneapolis, MN 55454, USA","1428 Washington Avenue, Minneapolis, MN 55454, USA",44.9730432,-93.2472955,,USA
Washington University in St. Louis,87936,2014-03-18,2014-03-01,university,,https://www.wustl.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"St. Louis MO 63130, USA","St. Louis MO 63130, USA","St. Louis MO 63130, USA",38.6529545,-90.2411165602464,,USA
UCSB Writing Program,87940,2014-04-16,2014-04-01,research,,https://www.writing.ucsb.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA",34.4162606,-119.8464093,,USA
University of Southern California,23941,2014-04-23,2014-04-01,university,,https://www.usc.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"651 W 35th St, Los Angeles, CA 90089, USA","651 W 35th St, Los Angeles, CA 90089, USA","651 West 35th Street, Los Angeles, CA 90089, USA",33.71236,-118.291364489796,,USA
AsWeGrow,10945,2014-05-05,2014-05-01,education,,https://teachpitch.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"11 Sangora Rd, SW11 1RL, London, UK","11 Sangora Rd, SW11 1RL, London, UK","11 Sangora Rd, SW11 1RL, London, UK",51.4607104,-0.1739617,,United Kingdom
PharmaTutor,59509,2014-05-09,2014-05-01,research,,https://www.pharmatutor.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"601/A, RJD Gajera Business Hub, Nr. Nagina Vadi, Katargam, Surat - 395004, India","601/A, RJD Gajera Business Hub, Nr. Nagina Vadi, Katargam, Surat - 395004, India","Katargam, Surat - 395004, India",21.22882205,72.8253082712774,,India
Lawrence Berkeley National Laboratory,87941,2014-05-10,2014-05-01,research,,https://commons.lbl.gov/display/rst/Library,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
CLIVAR and Carbon Hydrographic Data Office,87942,2014-05-21,2014-05-01,research,,https://cchdo.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
LBNL OpenMSI,87943,2014-06-12,2014-06-01,research,,https://openmsi.nersc.gov/openmsi/client,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA",37.8702807,-122.2586263,,USA
Grains Research and Development Corporation,33517,2014-06-13,2014-06-01,research,,https://www.grdc.com.au,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"4, East Building,4 National Circuit, Barton ACT 2600, Australia","4 National Circuit, Barton ACT 2600, Australia","4 National Circuit, Barton ACT 2600, Australia",-35.3057613,149.1343329,,Australia
Cyverse,87946,2014-07-08,2014-07-01,research,,https://cyverse.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1657 East Helen St, Tucson, AZ 85721, USA","1657 E Helen St, Tucson, USA","1657 E Helen St, Tucson, USA",32.2372443,-110.9675822,,USA
University of California Davis,85140,2014-07-23,2014-07-01,university,,https://www.library.ucdavis.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"100 NW Quad, Davis, CA 95616, USA","100 NW Quad, Davis, CA 95616, USA","Davis, CA 95616, USA",38.5434297,-121.7377558,,USA
"UC Davis, Social Science Data Service",85141,2014-07-23,2014-07-01,research,,https://www.ssds.ucdavis.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"100 NW Quad, Davis, CA 95616, USA","100 NW Quad, Davis, CA 95616, USA","Davis, CA 95616, USA",38.5434297,-121.7377558,,USA
Utah State University,85142,2014-07-23,2014-07-01,university,,https://library.usu.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"3000 Old Main Hill, Logan, UT 84322, USA","3000 Old Main Hill, Logan, UT 84321, USA","Old Main Hill, Logan, UT 84321, USA",41.740587,-111.81573677414,,USA
Canadian Writing Research Collaboratory,17102,2014-07-28,2014-07-01,research,,https://cwrc.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Edmonton AB, T6G 2J8, Canada","11121 Saskatchewan Dr NW Edmonton, AB T6G 2S1, Canada","11121 Saskatchewan Dr NW Edmonton, AB, Canada",53.5306692012439,-113.535345754907,,Canada
College of American Pathologists,78661,2014-08-08,2014-08-01,research,,https://www.cap.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"325 Waukegan Road, Northfield, IL 60093-2750, USA","325 Waukegan Rd Northfield, IL 60093, USA","325 Waukegan Rd Northfield, IL 60093, USA",42.1021192,-87.7967589,,USA
The Smithsonian Institution,65665,2014-08-18,2014-08-01,research,,https://collections.nmnh.si.edu/search/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"1000 Constitution Ave, NW Washington, D.C. 20560, USA","1000 Constitution Ave. NW Washington, DC 20224, USA","1000 Constitution Ave. NW Washington, DC 20224, USA",38.892,-77.026148,,USA
iDASH Repository,85147,2014-10-13,2014-10-01,research,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3277627/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
Purdue Polytechnic Institute,88114,2014-10-14,2014-10-01,research,,https://polytechnic.purdue.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"610 Purdue Mall, West Lafayette, IN 47907, USA","610 Purdue Mall, West Lafayette, IN 47907, USA","Purdue Mall, West Lafayette, IN 47907, USA",40.4287079,-86.9136899601775,,USA
"Revista de Arte, Ciência e Comunicação",14023,2014-10-26,2014-10-01,research,,https://revistas.rcaap.pt/artciencia/about,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Rua Gago Coutinho, 2615-086 Alverca, Lisboa, Portugal","Rua Gago Coutinho 2615-086 Alverca do Ribatejo, Portugal","Alverca do Ribatejo, Portugal",38.9049525,-9.04601801313072,,Portugal
DataMares,83022,2014-11-10,2014-11-01,research,,http://datamares.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,True,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA",32.8777424,-117.2394425,,USA
"Instituto de Etnomusicologia - Centro de Estudos em Música e Dança, Faculdade de Motricidade Humana",10603,2014-12-09,2014-12-01,research,,https://www.fcsh.unl.pt/unidades-investigacao/instituto-de-etnomusicologia-centro-de-estudos-em-musica-e-danca-inet-md-nova-fcsh/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,False,Anonyme,Anonyme,contact@email.com,,,,"Ave. de Berna, 26 C, 1069-061 Lisbon, Portugal","Ave. de Berna, 26 C, 1069-061 Lisbon, Portugal","Ave. de Berna, 1069-061 Lisboa, Portugal",38.7411538,-9.1474966,,Portugal
