Who,What,When,Where,How (profit N-F),NR,Opacity,How (check character),How (year),How (policy),Why,Contact (surname),Contact (firstname),Contact (current only),Provider (surname),Provider (firstname),Provider (email),Address (postal),Address (location)
James Madison University,27361,2014-02-20,https://www.jmu.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"800 S Main St, Harrisonburg, VA 22807, USA","800 S Main St, Harrisonburg, VA 22801, USA"
Colectica - Statistical Data Management,14365,2014-03-11,https://www.colectica.com,True,NR,OP,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1428 Washington Ave S STE 203, Minneapolis, Minnesota, USA","1428 S Washington Ave #203, Minneapolis, MN 55454, USA"
Archives départementales des Ardennes,75583,2014-03-17,https://archives.cd08.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Département des Ardennes, Hôtel du Département, CS 20001, 08011 Charleville-Mézières Cedex, France","10 rue de la Porte de Bourgogne, 08000, Charleville-Mézières, France"
Washington University in St. Louis,87936,2014-03-18,https://www.wustl.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"St. Louis MO 63130, USA","St. Louis MO 63130, USA"
Institut National de Physique Nucléaire et de Physique des Particules du CNRS,62929,2014-03-21,https://in2p3.cnrs.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"3 rue Michel-Ange - F-75794 Paris cedex 16, France","10 Rue Alice Domon et Léonie Duquet, 75013, Paris, France"
Archives départementales de l'Ille-et-Vilaine,49933,2014-03-21,https://archives.ille-et-vilaine.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 avenue de la Préfecture, CS 20218, 35042 Rennes Cedex, France","1 rue Jacques-Léonard, 35000, Rennes, France"
Archives départementales des Yvelines,36937,2014-03-25,https://archives.yvelines.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Avenue de Lunca, 78180, Montigny-le-Bretonneux, France","Avenue de Lunca, 78180, Montigny-le-Bretonneux, France"
UCSB Writing Program,87940,2014-04-16,https://www.writing.ucsb.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA"
University of Southern California,23941,2014-04-23,https://www.usc.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"651 W 35th St, Los Angeles, CA 90089, USA","651 W 35th St, Los Angeles, CA 90089, USA"
AsWeGrow,10945,2014-05-05,https://teachpitch.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"11 Sangora Rd, SW11 1RL, London, UK","11 Sangora Rd, SW11 1RL, London, UK"
Université Lille,72505,2014-05-06,https://www.univ-lille.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"42, rue Paul Duez, 59000, Lille, France","42, rue Paul Duez, 59000, Lille, France"
PharmaTutor,59509,2014-05-09,https://www.pharmatutor.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"601/A, RJD Gajera Business Hub, Nr. Nagina Vadi, Katargam, Surat - 395004, India","601/A, RJD Gajera Business Hub, Nr. Nagina Vadi, Katargam, Surat - 395004, India"
Lawrence Berkeley National Laboratory,87941,2014-05-10,https://commons.lbl.gov/display/rst/Library,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA"
Sciences Po,46513,2014-05-21,https://catalogue-bibliotheque.sciencespo.fr/discovery/search?vid=33USPC_SPO:SPO,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"27, rue Saint-Guillaume, 75007, Paris, France","27, rue Saint-Guillaume, 75007, Paris, France"
CLIVAR and Carbon Hydrographic Data Office,87942,2014-05-21,https://cchdo.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
LBNL OpenMSI,87943,2014-06-12,https://openmsi.nersc.gov/openmsi/client,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA"
Cité des Sciences et de l'industrie,20521,2014-06-13,https://www.cite-sciences.fr/fr/accueil/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"30 Avenue Corentin Cariou, 75019, Paris, France","30 Avenue Corentin Cariou, 75019, Paris, France"
Grains Research and Development Corporation,33517,2014-06-13,https://www.grdc.com.au,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"4, East Building,4 National Circuit, Barton ACT 2600, Australia","4 National Circuit, Barton ACT 2600, Australia"
Assemblée Nationale,69085,2014-06-17,https://www.assemblee-nationale.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"126 rue de l'Université 75355 Paris 07 SP, France","126 Rue de l'Université, 75007, Paris, France"
Cité Numérique de la Méditerranée,56089,2014-07-03,https://cinumed.mmsh.univ-aix.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"5, rue du Château de l'horloge, BP 647, 13094 Aix-en-Provence, France","5, rue du Château de l'horloge, 13090, Aix-en-Provence, France"
Cyverse,87946,2014-07-08,https://cyverse.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"1657 East Helen St, Tucson, AZ 85721, USA","1657 E Helen St, Tucson, USA"
University of California Davis,85140,2014-07-23,https://www.library.ucdavis.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"100 NW Quad, Davis, CA 95616, USA","100 NW Quad, Davis, CA 95616, USA"
"UC Davis, Social Science Data Service",85141,2014-07-23,https://www.ssds.ucdavis.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"100 NW Quad, Davis, CA 95616, USA","100 NW Quad, Davis, CA 95616, USA"
Utah State University,85142,2014-07-23,https://library.usu.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"3000 Old Main Hill, Logan, UT 84322, USA","3000 Old Main Hill, Logan, UT 84321, USA"
Equipex Biblissima,43093,2014-07-24,https://biblissima.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Campus Condorcet, Bâtiment EPCC - Hôtel à projets (bureau 2033), 8, cours des Humanités, 93322 Aubervilliers CEDEX , France","20 avenue George Sand, 93210, La Plaine Saint-Denis, France"
Archives municipales d'Armentières,30097,2014-07-25,https://archives.ville-armentieres.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"26 Avenue Aristide Briand, 59280 Armentières, France","26 Avenue Aristide Briand, 59280, Armentières, France"
Canadian Writing Research Collaboratory,17102,2014-07-28,https://cwrc.ca,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Edmonton AB, T6G 2J8, Canada","11121 Saskatchewan Dr NW Edmonton, AB T6G 2S1, Canada"
College of American Pathologists,78661,2014-08-08,https://www.cap.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"325 Waukegan Road, Northfield, IL 60093-2750, USA","325 Waukegan Rd Northfield, IL 60093, USA"
The Smithsonian Institution,65665,2014-08-18,https://collections.nmnh.si.edu/search/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"1000 Constitution Ave, NW Washington, D.C. 20560, USA","1000 Constitution Ave. NW Washington, DC 20224, USA"
Archives départementales de la Meuse,52669,2014-08-19,http://archives.meuse.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"26, route d'Aulnois, BP 50532, 55 012 Bar-le-Duc, France","26, route d'Aulnois, 55000, Bar-le-Duc, France"
Archives départementales de l'Ardèche,39673,2014-09-11,https://archives.ardeche.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Hôtel du Département, Quartier la Chaumette – BP 737, 07007 Privas cedex, France","14 Pl. Andre Malraux, 07000, Privas, France"
Fédération et Ressources sur l'Antiquité,26678,2014-09-19,https://www.frantiq.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,"EZID ARK, started as ARK",Anonyme,Anonyme,contact@email.com,,,,"MSH Mondes, 21 allée de l’Université, 92023 Nanterre Cedex, France","21 allée de l’Université, 92000, Nanterre, France"
iDASH Repository,85147,2014-10-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3277627/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
Purdue Polytechnic Institute,88114,2014-10-14,https://polytechnic.purdue.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"610 Purdue Mall, West Lafayette, IN 47907, USA","610 Purdue Mall, West Lafayette, IN 47907, USA"
"Revista de Arte, Ciência e Comunicação",14023,2014-10-26,https://revistas.rcaap.pt/artciencia/about,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Rua Gago Coutinho, 2615-086 Alverca, Lisboa, Portugal","Rua Gago Coutinho 2615-086 Alverca do Ribatejo, Portugal"
Archives municipales de Bordeaux,75241,2014-10-29,https://archives.bordeaux-metropole.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Parvis des Archives, 33100, Bordeaux, France","Parvis des Archives, 33100, Bordeaux, France"
Archives municipales de Rueil-Malmaison,62245,2014-10-29,http://archives.mairie-rueilmalmaison.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"13 Boulevard du Maréchal Foch, 92500 Rueil-Malmaison, France","Musée d'Histoire Locale, Place du 11 novembre 1918, 92500, Rueil-Malmaison, France"
Archives municipales de Saint Brieuc,49249,2014-11-04,http://archives.saint-brieuc.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Service des Archives Municipales - Hôtel de Ville Place du Général De Gaulle - CS 72365 22023 Saint-Brieuc Cedex 1 22000 Saint Brieuc, France","3 Bis Rue Bel Orient, 22000, Saint-Brieuc, France"
Muséum d'Histoire Naturelle de Toulouse,36254,2014-11-06,https://www.museum.toulouse.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"35 Allées Jules Guesde, 31000, Toulouse, France","35 Allées Jules Guesde, 31000, Toulouse, France"
DataMares,83022,2014-11-10,http://datamares.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
Archives départementales des Hautes-Alpes,23599,2014-11-14,https://archives.hautes-alpes.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"22 Route de Rambaud, 05000, Gap, France","22 Route de Rambaud, 05000, Gap, France"
"Instituto de Etnomusicologia - Centro de Estudos em Música e Dança, Faculdade de Motricidade Humana",10603,2014-12-09,https://www.fcsh.unl.pt/unidades-investigacao/instituto-de-etnomusicologia-centro-de-estudos-em-musica-e-danca-inet-md-nova-fcsh/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Ave. de Berna, 26 C, 1069-061 Lisbon, Portugal","Ave. de Berna, 26 C, 1069-061 Lisbon, Portugal"
Archives départementales de Maine-et-Loire,71821,2014-12-14,https://www.archives49.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"106, rue de Frémur, BP 80744, 49007 ANGERS CEDEX 01, France","106 Rue de Frémur, 49000, Angers, France"
Bibliothèque Nationale du Royaume du Maroc,45830,2014-12-19,http://www.bnrm.ma/bnrm,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Avenue Ibn Khaldoun, Rabat, Morocco","Avenue Ibn Khaldoun, Rabat, Morocco"
Dartmouth College Library,83024,2014-12-19,https://library.dartmouth.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"6025 Baker Library, Hanover, NH 03755, USA","6025 College St, Hanover, NH 03755, USA"
Archives départementales de Meurthe et Moselle,33175,2015-01-05,http://www.archives.meurthe-et-moselle.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Esplanade Jacques Baudot, CO900 19, 54035 Nancy Cedex, France","1 Rue de la Monnaie, 54000, Nancy, France"
Bibliothèque numérique de Roubaix,20179,2015-01-06,https://www.bn-r.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Hôtel de ville, 17 Grand’Place, 59100 Roubaix, France","2 Rue Pierre Motte, 59100, Roubaix, France"
"National University of Ireland, Galway",83025,2015-01-06,https://www.nuigalway.ie/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"University Road, Galway, Ireland","University Road, Galway, Ireland"
Archives municipales de Villeurbanne,68401,2015-01-12,https://lerize.villeurbanne.fr/le-rize/archives-municipales/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"23 rue Valentin Haüy, 69100, Villeurbanne, Le Rize, CS 30028, 69625 Villeurbanne Cedex","23 rue Valentin Haüy, 69100, Villeurbanne, France"
Archives municipales de Blois,55406,2015-01-14,http://archives.blois.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Service Archives-Documentation, Hôtel de ville, 9 place Saint-Louis, 41012 BLOIS CEDEX, France","9 Place Saint-Louis, 41000, Blois, France"
Archives départementales des Deux-Sèvres,58825,2015-01-30,https://archives-deux-sevres-vienne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Maison du département, CS 58880, 79028 Niort Cedex, France","26 Rue de la Blauderie, 79000, Niort, France"
Berkeley Law Library,85779,2015-02-07,https://www.law.berkeley.edu/library.htm,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"101 Sproul Hall, Berkeley, CA 94704, USA","Barrow Ln, Berkeley, CA 94704, USA"
Archives départementales de l'Aube,42751,2015-02-09,http://www.archives-aube.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Département de l'Aube, Hôtel du Département, 2 rue Pierre-Labonde, BP 394, 10026 Troyes cedex, France","131, rue Etienne Pédron, 10000, Troyes, France"
"UCSB Climate Hazards Group, Dept of Geography",85788,2015-02-11,https://www.chc.ucsb.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA"
Bibliothèque municipale de Valenciennes – Médiathèque Simone Veil,29755,2015-02-13,https://bibliotheque.ville-valenciennes.fr/iguana/www.main.cls?surl=home,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Mairie de Valenciennes, Place d’Armes, BP 90939, 59 304 Valenciennes Cedex, France","2 Rue Ferrand, 59300, Valenciennes, France"
Drug Design Data Resource,85782,2015-02-18,https://drugdesigndata.org//,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
University of Wyoming Libraries,85786,2015-02-23,https://www.uwyo.edu/libraries/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"1000 E. University Ave. Laramie, WY 82071, USA","1000 E. University Ave. Laramie, WY 82071, USA"
Archives départementales de la Haute-Saône,77977,2015-03-03,http://archives.haute-saone.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"CS 20349, 70006 Vesoul Cedex, France","14 B Rue Miroudot Saint-Ferjeux, 70000, Vesoul, France"
Sprint Investify,16759,2015-03-03,https://www.ExpertJournals.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Sibiu 557260, Romania","Strada Mihai Viteazul 17 Șelimbăr 557260, Roumania"
Archives départementales des Hautes-Pyrénées,64982,2015-03-04,http://www.archivesenligne65.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Département des Hautes-Pyrénées, Direction Archives et patrimoines, 6 rue Gaston  Manent, CS71324, 65013 TARBES CEDEX 9, France","5 rue des Ursulines, 65000, Tarbes, France"
Montana State University,75788,2015-03-04,https://www.montana.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"Bozeman MT 59717, USA","Culbertson Hall, 100, Bozeman, MT 59717, USA"
Archives départementales de la Haute-Vienne,52328,2015-03-10,http://archives.haute-vienne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 allée Alfred Leroux, 87000, Limoges, France","1 allée Alfred Leroux, 87000, Limoges, France"
Archives de la Ville et de l'Eurométropole de Strasbourg,39332,2015-03-10,https://archives.strasbourg.eu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 parc de l'Etoile, 67076 Strasbourg Cedex, France","32 avenue du Rhin, 67076, Strasbourg, France"
Archives départementales de l'Eure,26335,2015-03-25,https://archives.eure.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 rue de Verdun, 27025, Evreux Cedex, France","2, rue de Verdun, 27000, Evreux, France"
Office International de l'Eau,99160,2015-03-26,https://www.oieau.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"21 rue de Madrid, 75008, Paris, France","21 rue de Madrid, 75008, Paris, France"
Morphosource Project,87602,2015-03-26,https://morphosource.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"411 Chapel Drive, Durham, NC 27708, USA","411 Chapel Drive, Durham, NC 27708, USA"
Archives départementales de la Sarthe,13339,2015-03-30,http://archives.sarthe.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"9 rue Christian Pineau, 72100, Le Mans, France","9 rue Christian Pineau, 72100, Le Mans, France"
Texas Advanced Computing Center,87603,2015-03-30,https://www.tacc.utexas.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"10100 Burnet Rd, (R8700) Austin, TX 78758, USA","10100 Burnet Rd, (R8700) Austin, TX 78758, USA"
Chicago Collections Consortium,87607,2015-04-01,https://chicagocollections.org/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"2350 N Kenmore Ave, 116-D, Chicago, IL 60614, USA","2350 N Kenmore Ave, 116-D, Chicago, IL 60614, USA"
UTA Institute of Classical Archaeology,87610,2015-04-06,https://liberalarts.utexas.edu/ica/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"The College of Liberal Arts , The University of Texas at Austin , 116 Inner, Campus Dr Stop G6000, Austin, TX 78712, USA","116 Inner Campus Drive, Austin, TX 78712, USA"
Archives municipales de Laval,74558,2015-04-10,https://archives.laval.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 Rue Prosper Brou, 53000, Laval, France","1 Rue Prosper Brou, 53000, Laval, France"
Archives départementales de la Charente,61904,2015-04-10,https://archives.lacharente.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"31 Boulevard Émile Roux - CS 60 000 - 16917 Angoulême Cedex 9, France","24 Avenue Gambetta, 16000, Angoulême, France"
Archives municipales de Béziers,48908,2015-04-19,http://archives.ville-beziers.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Mairie, 34543 Béziers Cedex, France","27 rue du 4 septembre, 34500, Béziers, France"
IEEE Publishing Technology,35911,2015-04-24,https://ieee.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"3 Park Avenue, 17th Floor, New York, N.Y. 10016-5997, USA","3 Park Avenue, 17th Floor, New York, N.Y. 10016-5997, USA"
The Silent Film Sound & Music Archive,22915,2015-04-28,http://www.sfsma.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2211 College View Dr., Redding, CA 96003, USA","2211 College View Dr., Redding, CA 96003, USA"
Espace Mendès France,71480,2015-04-30,https://emf.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 pl. de la Cathédrale, CS 80964 86038 Poitiers cedex, France","1 Rue de la Cathédrale, 86000, Poitiers, France"
UC San Diego Department of Biomedical Informatics,87908,2015-05-11,https://dbmi.ucsd.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"9500 Gilman Dr, La Jolla, CA 92093, USA","9500 Gilman Dr, La Jolla, CA 92093, USA"
Archives départementales des Alpes de Haute Provence,58484,2015-05-19,http://www.archives04.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"2 Rue du Trelus, 04000, Digne-les-Bains, France","2 Rue du Trelus, 04000, Digne-les-Bains, France"
Российский Лингвистический Бюллетень (Russian Linguistic Bulletin),45487,2015-05-22,http://rulb.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Yekaterinburg, 620137, Russia","Yekaterinburg, 620137, Russia"
Miami Project to Cure Paralysis,77913,2015-05-27,http://regenbase.org,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"1300 Memorial Drive, Coral Gables FL 33134, USA","1300 Memorial Dr, Coral Gables, FL 33146, USA"
Archives de la ville de Romans,32491,2015-06-01,http://www.archives-ville-romans.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"3 Rue des Clercs, 26100, Romans-sur-Isère, France","3 Rue des Clercs, 26100, Romans-sur-Isère, France"
Ohio Supercomputer Center,19495,2015-06-01,https://osc.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1224 Kinnear Road, Columbus, Ohio 43212, USA","1224 Kinnear Road, Columbus, Ohio 43212, USA"
Andrews University,68060,2015-06-25,https://www.andrews.edu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"8753 University Blvd, Berrien Springs, MI 49104, USA","8975 Old 31, Berrien Springs, MI 49104, USA"
Médiathèques du Grand Dole,55063,2015-06-26,https://mediatheques.grand-dole.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 Rue Bauzonnet, 39100, Dole, France","2 Rue Bauzonnet, 39100, Dole, France"
Center for Nanotechnology in Society,87915,2015-06-26,http://www.cns.ucsb.edu/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,EZID ARK,Anonyme,Anonyme,contact@email.com,,,,"552 University Rd, Santa Barbara, CA 93106, USA","552 University Rd, Santa Barbara, CA 93106, USA"
