Who,What,When,Where,How (profit N-F),NR,Opacity,How (check character),How (year),How (policy),Why,Contact (surname),Contact (firstname),Contact (current only),Provider (surname),Provider (firstname),Provider (email),Address (postal),Address (location)
Archives municipales de Saint Brieuc,49249,2014-11-04,http://archives.saint-brieuc.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Service des Archives Municipales - Hôtel de Ville Place du Général De Gaulle - CS 72365 22023 Saint-Brieuc Cedex 1 22000 Saint Brieuc, France","3 Bis Rue Bel Orient, 22000, Saint-Brieuc, France"
Muséum d'Histoire Naturelle de Toulouse,36254,2014-11-06,https://www.museum.toulouse.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"35 Allées Jules Guesde, 31000, Toulouse, France","35 Allées Jules Guesde, 31000, Toulouse, France"
Archives départementales des Hautes-Alpes,23599,2014-11-14,https://archives.hautes-alpes.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"22 Route de Rambaud, 05000, Gap, France","22 Route de Rambaud, 05000, Gap, France"
Archives départementales de Maine-et-Loire,71821,2014-12-14,https://www.archives49.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2014,,ARK,Anonyme,Anonyme,contact@email.com,,,,"106, rue de Frémur, BP 80744, 49007 ANGERS CEDEX 01, France","106 Rue de Frémur, 49000, Angers, France"
Archives départementales de Meurthe et Moselle,33175,2015-01-05,http://www.archives.meurthe-et-moselle.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Esplanade Jacques Baudot, CO900 19, 54035 Nancy Cedex, France","1 Rue de la Monnaie, 54000, Nancy, France"
Bibliothèque numérique de Roubaix,20179,2015-01-06,https://www.bn-r.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Hôtel de ville, 17 Grand’Place, 59100 Roubaix, France","2 Rue Pierre Motte, 59100, Roubaix, France"
Archives municipales de Villeurbanne,68401,2015-01-12,https://lerize.villeurbanne.fr/le-rize/archives-municipales/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"23 rue Valentin Haüy, 69100, Villeurbanne, Le Rize, CS 30028, 69625 Villeurbanne Cedex","23 rue Valentin Haüy, 69100, Villeurbanne, France"
Archives municipales de Blois,55406,2015-01-14,http://archives.blois.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Service Archives-Documentation, Hôtel de ville, 9 place Saint-Louis, 41012 BLOIS CEDEX, France","9 Place Saint-Louis, 41000, Blois, France"
Archives départementales des Deux-Sèvres,58825,2015-01-30,https://archives-deux-sevres-vienne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Maison du département, CS 58880, 79028 Niort Cedex, France","26 Rue de la Blauderie, 79000, Niort, France"
Archives départementales de l'Aube,42751,2015-02-09,http://www.archives-aube.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Département de l'Aube, Hôtel du Département, 2 rue Pierre-Labonde, BP 394, 10026 Troyes cedex, France","131, rue Etienne Pédron, 10000, Troyes, France"
Bibliothèque municipale de Valenciennes – Médiathèque Simone Veil,29755,2015-02-13,https://bibliotheque.ville-valenciennes.fr/iguana/www.main.cls?surl=home,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Mairie de Valenciennes, Place d’Armes, BP 90939, 59 304 Valenciennes Cedex, France","2 Rue Ferrand, 59300, Valenciennes, France"
Archives départementales de la Haute-Saône,77977,2015-03-03,http://archives.haute-saone.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"CS 20349, 70006 Vesoul Cedex, France","14 B Rue Miroudot Saint-Ferjeux, 70000, Vesoul, France"
Archives départementales des Hautes-Pyrénées,64982,2015-03-04,http://www.archivesenligne65.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Département des Hautes-Pyrénées, Direction Archives et patrimoines, 6 rue Gaston  Manent, CS71324, 65013 TARBES CEDEX 9, France","5 rue des Ursulines, 65000, Tarbes, France"
Archives départementales de la Haute-Vienne,52328,2015-03-10,http://archives.haute-vienne.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 allée Alfred Leroux, 87000, Limoges, France","1 allée Alfred Leroux, 87000, Limoges, France"
Archives de la Ville et de l'Eurométropole de Strasbourg,39332,2015-03-10,https://archives.strasbourg.eu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"1 parc de l'Etoile, 67076 Strasbourg Cedex, France","32 avenue du Rhin, 67076, Strasbourg, France"
Archives départementales de l'Eure,26335,2015-03-25,https://archives.eure.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 rue de Verdun, 27025, Evreux Cedex, France","2, rue de Verdun, 27000, Evreux, France"
Office International de l'Eau,99160,2015-03-26,https://www.oieau.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"21 rue de Madrid, 75008, Paris, France","21 rue de Madrid, 75008, Paris, France"
Archives départementales de la Sarthe,13339,2015-03-30,http://archives.sarthe.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"9 rue Christian Pineau, 72100, Le Mans, France","9 rue Christian Pineau, 72100, Le Mans, France"
Archives municipales de Laval,74558,2015-04-10,https://archives.laval.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 Rue Prosper Brou, 53000, Laval, France","1 Rue Prosper Brou, 53000, Laval, France"
Archives départementales de la Charente,61904,2015-04-10,https://archives.lacharente.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"31 Boulevard Émile Roux - CS 60 000 - 16917 Angoulême Cedex 9, France","24 Avenue Gambetta, 16000, Angoulême, France"
Archives municipales de Béziers,48908,2015-04-19,http://archives.ville-beziers.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Mairie, 34543 Béziers Cedex, France","27 rue du 4 septembre, 34500, Béziers, France"
Espace Mendès France,71480,2015-04-30,https://emf.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 pl. de la Cathédrale, CS 80964 86038 Poitiers cedex, France","1 Rue de la Cathédrale, 86000, Poitiers, France"
Archives départementales des Alpes de Haute Provence,58484,2015-05-19,http://www.archives04.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"2 Rue du Trelus, 04000, Digne-les-Bains, France","2 Rue du Trelus, 04000, Digne-les-Bains, France"
Archives de la ville de Romans,32491,2015-06-01,http://www.archives-ville-romans.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"3 Rue des Clercs, 26100, Romans-sur-Isère, France","3 Rue des Clercs, 26100, Romans-sur-Isère, France"
Médiathèques du Grand Dole,55063,2015-06-26,https://mediatheques.grand-dole.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2 Rue Bauzonnet, 39100, Dole, France","2 Rue Bauzonnet, 39100, Dole, France"
Archives de la Loire Atlantique,42067,2015-06-30,https://archives.loire-atlantique.fr/44/accueil-archives/j_6,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"6 rue de Bouillé, CS 23505, 44035 Nantes cedex 1, France","6 rue de Bouillé, 44000, Nantes, France"
Archives Municipales Aix En Provence,77636,2015-09-11,http://aix.arkotheque.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Hôtel de Ville, 13616 Aix-en-Provence Cedex 1, France","25 allée de Philadelphie, 13100, Aix-en-Provence, France"
Bibliography on the Architecture of Ancient Theater,38647,2015-11-18,https://www.iraa.mom.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"MSH Maison de l'Orient et de la Méditerranée - Jean Pouilloux 7 rue Raulin - 69365 Lyon cedex 7, France","7 rue Raulin, 69007, Lyon, France"
École nationale supérieure des mines de Paris,25652,2015-11-18,https://www.minesparis.psl.eu/,False,NR,OP,CC,2015,https://patrimoine.mines-paristech.fr/ark/policy,ARK,Anonyme,Anonyme,contact@email.com,,,,"60 Boulevard Saint-Michel, 75006, Paris, France","60 Boulevard Saint-Michel, 75006, Paris, France"
Laboratoire de Recherche des Monuments Historiques,87211,2015-11-23,https://www.lrmh.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"29 rue de Paris, 77420, Champs-sur-Marne, France","29 rue de Paris, 77420, Champs-sur-Marne, France"
Service Ressources patrimoniales et culturelles du département de l'Ain,74215,2015-11-30,https://patrimoines.ain.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Hôtel du Département, 45 avenue Alsace-Lorraine BP 114, 01000 BOURG EN BRESSE Cedex, France","45 avenue Alsace-Lorraine, 01000, Bourg-en-Bresse, France"
Mappemonde,61219,2015-12-01,http://mappemonde.mgm.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"M@ppemonde, UMR ESPACE, Université d’Avignon, Case 19 – 74 rue Louis Pasteur, 84029 Avignon Cedex, France","74 rue Louis Pasteur, 84029, Avignon, France"
Université de Haute-Alsace,35228,2015-12-05,http://www.scd.uha.fr/flora3/jsp/portal/index.jsp,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"4 rue des Frères Lumière, 68093 Mulhouse CEDEX, France","18 Rue des Frères Lumière, 68100, Mulhouse, France"
Archives départementales de la Vendée,22574,2015-12-14,http://www.archives.vendee.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2015,,ARK,Anonyme,Anonyme,contact@email.com,,,,"14, rue Haxo - BP 34 - 85001 La Roche-sur-Yon Cedex, France","14 Rue Haxo, 85000, La Roche-sur-Yon, France"
Archives municipales de Saumur,83791,2016-01-05,http://archives.ville-saumur.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Hôtel de Ville, Rue Molière, CS 540030, 49 408 Saumur cedex, France","25 Quai Carnot, 49400, Saumur, France"
Université de Caen Normandie,44804,2016-01-21,https://www.unicaen.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Espl. de la Paix, 14032, Caen, France","Espl. de la Paix, 14032, Caen, France"
Institut de l'information scientifique et technique,67375,2016-03-30,https://www.inist.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"2, Allée du Parc de Brabois, Rue Jean Zay, 54500, Vandœuvre-lès-Nancy, France","2, Allée du Parc de Brabois, Rue Jean Zay, 54500, Vandœuvre-lès-Nancy, France"
Bibliothèque Municipale d'Angers  ,54380,2016-04-08,https://commulysse.angers.fr/Actualite/p95/Le-Patrimoine-rouvre-pour-les-chercheurs-et-reste-en-ligne-pour-tous,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"49 Rue Toussaint, 49100, Angers, France","49 Rue Toussaint, 49100, Angers, France"
Eclair Preservation S.A.S.,41726,2016-04-20,https://eclair.digital/fr,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"70 Rue Jean Bleuzen, 92170, Vanves, France","70 Rue Jean Bleuzen, 92170, Vanves, France"
Bibliothèque Interuniversitaire de la Sorbonne,15733,2016-04-21,http://www.bibliotheque.sorbonne.fr/biu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"17 Rue de la Sorbonne, 75005, Paris, France","17 Rue de la Sorbonne, 75005, Paris, France"
Archives Municipales de la ville de Château d'Olonne,89947,2016-04-21,https://archives.lechateaudolonne.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Hôtel de Ville, 53 rue Séraphin Buton, 85180, Le Château d’Olonne, France","53 rue Séraphin Buton, Le Château-d'Olonne, 85180, Les Sables d'Olonne, France"
Archives départementales de la Loire,51302,2016-04-27,https://www.loire.fr/jcms/ci_526798/archives-departementales,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"6 Rue Barrouin, 42000, Saint-Étienne, France","6 Rue Barrouin, 42000, Saint-Étienne, France"
Archives nationales de France,38306,2016-04-28,https://www.archives-nationales.culture.gouv.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"59, rue Guynemer, 93393, Pierrefitte-sur-Seine, France","59, rue Guynemer, 93393, Pierrefitte-sur-Seine, France"
Hachette Livre,12313,2016-05-27,https://www.hachette.com/fr/accueil/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"58 rue jean bleuzen cs 70007 92178 vanves cedex, France","58, rue Jean Bleuzen, 92170, Vanves, France"
Maskott,86527,2016-06-14,https://www.maskott.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"21 avenue des Belges, 43000, Le Puy en Velay, France","21 avenue des Belges, 43000, Le Puy en Velay, France"
ITOP éducation,73532,2016-06-14,https://www.itopeducation.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Route de l'Orme des Merisiers, 91190, Saint-Aubin, France","Route de l'Orme des Merisiers, 91190, Saint-Aubin, France"
eduMedia,60878,2016-06-14,https://www.edumedia-sciences.com/fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"8 rue Borie, 33300, Bordeaux, France","8 rue Borie, 33300, Bordeaux, France"
Cabrilog SAS,47882,2016-06-15,https://cabri.com/fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"122 avenue du Vercors, 38600, Fontaine, France","122 avenue du Vercors, 38600, Fontaine, France"
Encyclopædia Universalis,34885,2016-06-20,http://www.universalis-edu.com/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"88 ter avenue du Général Leclerc, 92100, Boulogne-Billancourt, France","88 ter avenue du Général Leclerc, 92100, Boulogne-Billancourt, France"
Editis Pôle Éducation & Référence,21889,2016-06-27,https://www.editis-education.fr,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"30 Place d'Italie, 75013, Paris, France","30 Place d'Italie, 75013, Paris, France"
Toulon Provence Méditerranée,83108,2016-06-28,https://metropoletpm.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"107 Boulevard Henri Fabre, 83000, Toulon, France","107 Boulevard Henri Fabre, 83000, Toulon, France"
Association Sésamath,70454,2016-07-06,https://www.sesamath.net,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1350 Route des fruitiers - Les Planards, 26600, Erôme, France","1350 Route des fruitiers - Les Planards, 26600, Erôme, France"
Saint-Gobain,57458,2016-07-25,https://www.saint-gobain.com/fr/,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Tour Saint-Gobain, 12 place de l'Iris, 92096 La Défense Cedex, France","Tour Saint-Gobain, 12 place de l'Iris, 92400, Courbevoie, France"
Médiathèque du Grand Troyes,31465,2016-08-18,https://troyes-champagne-mediatheque.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"7 rue des Filles Dieu, 10088, Troyes Cedex, France","7 rue des Filles Dieu, 10420, Troyes, France"
Paris Sciences et Lettres,18469,2016-08-30,https://www.psl.eu,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"60 Rue Mazarine, 75006, Paris, France","60 Rue Mazarine, 75006, Paris, France"
Institut national de l'audiovisuel,54037,2016-09-23,https://www.ina.fr,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"4 avenue de l'Europe, 94366 Bry-sur-Marne Cedex, France","4 Avenue de l'Europe, 94360, Bry-sur-Marne, France"
Archives de la Métropole Européenne de Lille,41041,2016-10-06,http://www.lillemetropole.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"2, boulevard des Cités Unies, CS 70043, 59040 Lille Cedex, France","2, boulevard des Cités Unies, 59800, Lille, France"
Communauté d'agglomération de Mantes-en-Yvelines,28045,2016-10-06,https://gpseo.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"Immeuble Autoneum, Rue des Chevries, 78410 Aubergenville, France","Immeuble Autoneum, Rue des Chevries, 78410, Aubergenville, France"
Éditions JOCATOP,89606,2016-10-11,https://jocatop.fr,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"950 Route de Réalpanier, 84310, Morières-Les-Avignon, France","950 Route de Réalpanier, 84310, Morières-Les-Avignon, France"
Euro France Médias,63613,2016-10-14,https://www.euro-france-medias.com,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"266, Avenue Daumesnil, 75012, Paris, France","172 Grande Rue 92380, Garches, France"
Société de l'Histoire du Protestantisme Français,50617,2016-10-20,https://www.shpf.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"54 Rue des Saints-Pères, 75007, Paris, France","54 Rue des Saints-Pères, 75007, Paris, France"
Archives départementales d'Indre-et-Loire,37621,2016-11-14,https://archives.touraine.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Hôtel du Département, 37927 Tours cedex 9, France","6 rue des Usulines, 37000, Tours, France"
Archives départementales de la Drôme,24626,2016-11-15,https://archives.ladrome.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"14 Rue de la Manutention, BP 722, 26000 Valence cedex, France","14 Rue de la Manutention, 26000, Valence, France"
Archives départementales du Tarn,11972,2016-11-16,http://archives.tarn.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 Avenue de la Verrerie, 81013, Albi Cedex 9, France","1 Avenue de la Verrerie, 81000, Albi, France"
Centre Régional des Lettres,86186,2016-12-02,https://normannia.info,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Unicité, 14 rue Alfred Kastler, 14054, Caen, France","Unicité, 4 Rue Alfred Kastler, 14280, Caen, France"
Médiathèque de Bayonne,60193,2016-12-06,https://mediatheque.bayonne.fr/iguana/www.main.cls?Surl=home/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"Hôtel de Ville 1 avenue du Maréchal Leclerc, 64109, Bayonne, France","10 rue des Gouverneurs, 64100, Bayonne, France"
Médiathèque de la Ville de Cannes,47197,2016-12-15,https://mediatheques.cannes.com/in/fr/;jsessionid=012AD0B7E8673C235E8AB44AA36057F6,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2016,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 Place Bernard Cornut-Gentille, CS 30140, 06414 Cedex Cannes, France","1, Avenue de Jean de Noailles, 06400, Cannes, France"
Ecole Nationale Supérieure d'Arts et Métiers,21548,2017-01-11,https://artsetmetiers.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"151 boulevard de l'Hôpital, 75013 PARIS, France","151 boulevard de l'Hôpital, 75013, Paris, France"
Cadmos,82765,2017-01-22,https://www.texteimage.com,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"20 place des Vosges, 75004, Paris, France","20 place des Vosges, 75004, Paris, France"
Archives du Musée du quai Branly Jacques Chirac,69769,2017-01-25,https://www.quaibranly.fr/fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"222 rue de l'Université 75007, Paris, France","37 Quai Branly, 75007, Paris, France"
Archives départementales de la Dordogne,43778,2017-02-13,https://archives.dordogne.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,Anonyme,Anonyme,contact@email.com,"9 rue Littré, 24000, Périgueux, France","9 rue Littré, 24000, Périgueux, France"
Bibliothèques de Nancy,31124,2017-02-25,https://www.nancy.fr/culturelle/bibliotheques-380.html,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"43 rue Stanislas, 54000, Nancy, France","43 rue Stanislas, 54000, Nancy, France"
Bibliothèque multimédia intercommunale d'Epinal,18128,2017-02-28,https://bmi.agglo-epinal.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"48, rue Saint-Michel, BP 91032, 88050 ÉPINAL CEDEX 9, France","48 rue Saint-Michel, 88000, Epinal, France"
Bibliothèques-Médiathèques de Metz,79345,2017-03-01,https://bm.metz.fr/iguana/www.main.cls?SUrl=accueil,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"1 cour Elie Fleur, 57000, Metz, France","1 cour Elie Fleur, 57000, Metz, France"
Bibliothèque municipale de Grenoble,66349,2017-03-01,https://catalogue.bm-grenoble.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"12, boulevard Maréchal Lyautey, BP 1095, 38021 Grenoble Cedex 1, France","12 Boulevard Maréchal Lyautey, 38000, Grenoble, France"
Musée gallo-romain de Lyon Lugdunum,53354,2017-03-03,https://lugdunum.grandlyon.com/fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"17 rue Cléberg, 69005, Lyon, France","17 rue Cléberg, 69005, Lyon, France"
Archives départementales des Bouches du Rhône,40700,2017-03-13,http://www.archives13.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"18 rue Mirès, BP 10099, 13303 Marseille Cedex, France","18-20 Rue Mirès, 13003, Marseille, France"
Lelivrescolaire.fr Editions,27704,2017-03-15,https://www.lelivrescolaire.fr,True,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"14 Rue Rhin et Danube, 69009, Lyon, France","14 Rue Rhin et Danube, 69009, Lyon, France"
La Contemporaine,14707,2017-03-23,http://www.lacontemporaine.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"6 allée de l'Université, 92001 NANTERRE Cedex, France","6 allée de l'Université, 92000, Nanterre, France"
France Televisions,50276,2017-04-03,https://enseignants.lumni.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"France Télévisions Education, esplanade Henri de France, 75015, Paris, France","France Télévisions Education, esplanade Henri de France, 75015, Paris, France"
Bibliothèque de l'observatoire de Paris  ,11287,2017-04-21,https://bibnum.obspm.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"61 avenue de l'Observatoire, 75014, Paris, France","61 avenue de l'Observatoire, 75014, Paris, France"
Archives départementales du Finistère,72506,2017-04-27,https://archives.finistere.fr/,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"5 allée Henri Bourde de la Rogerie, 29000, Quimper, France","5 allée Henri Bourde de la Rogerie, 29000, Quimper, France"
Musée de Bretagne,83011,2017-06-06,https://www.musee-bretagne.fr,False,(:unkn) unknown,(:unkn) unknown,(:unkn) unknown,2017,,ARK,Anonyme,Anonyme,contact@email.com,,,,"46 boulevard Magenta, CS 91231 35012 RENNES cedex, France","46 boulevard Magenta, 35000, Rennes, France"
